variable,value,label
MODE,1,SOV
MODE,2,HOV2
MODE,3,HOV3+
MODE,4,WALK
MODE,5,BIKE
MODE,6,TNC / TAXI
MODE,7,TRANSIT-BUS
MODE,8,TRANSIT-METRO
MODE,9,COMPANY-BUS
MODE,10,SCHOOLBUS
MODE,11,OTHER
TOLL,1,TOLL
TOLL,2,NO TOLL
DRIVER,0,NA
DRIVER,1,DRIVER
DRIVER,2,PASSENGER
TRANSIT_TYPE,1,BUS
TRANSIT_TYPE,2,LRT
TRANSIT_TYPE,3,BRT
TRANSIT_TYPE,default,BUS
TRANSIT_ACCESS,1,PNR
TRANSIT_ACCESS,2,KNR
TRANSIT_ACCESS,3,WALK
PURP,0,HOME
PURP,1,WORK
PURP,2,UNIVERSITY
PURP,3,SCHOOL
PURP,4,ESCORTING
PURP,5,SHOPPING
PURP,6,MAINTENANCE
PURP,7,EAT OUT
PURP,8,SOCIAL/VISIT
PURP,9,DISCRETIONARY
PURP,10,WORK-RELATED
PURP,11,LOOP
PURP,12,CHANGE MODE
PURP,13,OTHER
PARTIAL_TOUR,0,
PARTIAL_TOUR,,
PARTIAL_TOUR,,
